Model,Params (M),FLOPs (G),ACDC Dice (%),BraTS Dice (%),Synapse Dice (%)
Ours-P,34.80,575.1,91.18,91.73,85.73
Ours-L,34.95,634.1,91.45,91.22,85.71
Ours-R,111.06,925.5,91.98,91.50,85.60
AttU-Net,23.63,586.0,89.83,91.27,83.09
CoTr,41.93,787.4,88.66,90.97,85.35
LightUNETR-L,3.93,129.4,-,90.36,-
SegMamba,66.90,1573.0,89.37,90.99,81.68
SegMamba-v2,138.78,1982.5,90.76,91.21,82.49
SlimUNETRV2,23.61,41.9,-,90.29,-
Swin-UNet,30.64,46.8,85.18,89.54,73.54
TransUNet,113.26,454.7,89.59,91.15,82.36
U-Mamba,42.12,975.5,78.54,91.37,76.35
UNETR,130.79,202.8,82.22,89.94,73.28
UNETR++,23.54,87.5,86.89,90.94,81.07
nnU-Net,31.20,538.1,91.17,91.36,84.43
